Temperature_K_,Field_T_,FieldAngle_deg_,CriticalCurrent_A_,CriticalCurrentPerCmWidth_A_cm_,n_value
15.02,7,240,175.86,439.66,20.26
15.02,7,235,166.89,417.23,17.66
15.02,7,230,165.51,413.77,22.12
15,7,225,164.96,412.41,26.69
15.01,7,220,163.04,407.59,27.42
15,7,215,163.08,407.69,30.33
14.99,7,210,163.43,408.56,31.44
14.99,7,205,163.37,408.41,28.36
15.01,7,200,166.25,415.63,31.95
15,7,195,168.87,422.17,31.88
14.99,7,190,171.35,428.38,30.51
14.99,7,185,174.19,435.48,30
15,7,180,174.5,436.25,27.21
15,7,175,173.61,434.03,27.84
14.99,7,170,171.16,427.9,28.74
14.99,7,165,167.65,419.12,28.63
14.99,7,160,164.57,411.42,28.82
14.99,7,155,161.64,404.1,27.32
15,7,150,160.48,401.21,27.94
15,7,145,160.11,400.26,27.43
15.01,7,140,160.73,401.82,26.16
15,7,135,163.58,408.95,26.71
15.01,7,130,167.55,418.87,25.3
14.99,7,125,174.8,436.99,25.01
15,7,120,185.49,463.73,24.19
15,7,115,202.46,506.15,24.24
14.99,7,110,228.81,572.01,22.61
14.99,7,105,279.31,698.28,22.64
14.99,7,102,336.97,842.42,23.7
15,7,99,444.19,1110.48,26.82
15,7,96,679.47,1698.68,41.91
14.99,7,94,935.32,2338.3,71.38
15,7,92,867.1,2167.76,34.9
15,7,90,593.71,1484.29,24.22
14.99,7,88,451.7,1129.25,21.23
15.01,7,86,370.45,926.13,20.24
14.99,7,84,320.26,800.64,19.58
14.99,7,81,273.06,682.66,19.77
15.01,7,78,243.12,607.8,19.98
14.99,7,75,222.85,557.13,20.43
15,7,70,201.07,502.68,22.29
15,7,65,185.85,464.61,21.93
14.99,7,60,175.75,439.38,22.17
15.01,7,55,170.75,426.87,26.19
14.99,7,50,163.2,407.99,21.56
15.01,7,45,160.19,400.47,22.22
15,7,40,158.86,397.14,23.01
15,7,35,159.31,398.27,24.45
14.99,7,30,160.12,400.3,25.45
15.02,7,25,160.68,401.7,24.4
14.99,7,20,163.82,409.55,25.91
15.02,7,15,167.67,419.16,27.15
14.99,7,10,171.92,429.8,28.95
15,7,5,174.31,435.79,27.88
14.99,5,240,224.17,560.43,24.07
15,5,235,213.52,533.81,24.64
15.01,5,230,205.88,514.69,24.53
14.99,5,225,201.27,503.18,25.53
15,5,220,198.63,496.56,26.85
15,5,215,196.83,492.08,27.63
15,5,210,196.81,492.03,28.54
15,5,205,196.85,492.13,27.03
15,5,200,199.28,498.21,28.83
15,5,195,201.87,504.66,28.58
15,5,190,205.22,513.06,28.84
15,5,185,208.55,521.37,29.1
14.99,5,180,209.1,522.74,27.51
14.98,5,175,208.2,520.51,27.96
14.99,5,170,204.64,511.59,27.73
15.01,5,165,200.74,501.86,27.79
